,Lat,Lon,Alt
1600,34.39,-72.1,0.0
1601,34.39,-71.6,0.0
1602,34.39,-71.1,0.0
1603,34.39,-70.6,0.0
1604,34.39,-70.1,0.0
1605,34.39,-69.6,0.0
1606,34.39,-69.1,0.0
1607,34.39,-68.6,0.0
1608,34.39,-68.1,0.0
1609,34.39,-67.6,0.0
1610,34.39,-67.1,0.0
1611,34.39,-66.6,0.0
1612,33.89,-128.1,0.0
1613,33.89,-127.6,0.0
1614,33.89,-127.1,0.0
1615,33.89,-126.6,0.0
1616,33.89,-126.1,0.0
1617,33.89,-125.6,0.0
1618,33.89,-125.1,0.0
1619,33.89,-124.6,0.0
1620,33.89,-124.1,0.0
1621,33.89,-123.6,0.0
1622,33.89,-123.1,0.0
1623,33.89,-122.6,0.0
1624,33.89,-122.1,0.0
1625,33.89,-121.6,0.0
1626,33.89,-121.1,0.0
1627,33.89,-120.6,0.0
1628,33.89,-120.1,0.0
1629,33.89,-119.6,0.0
1630,33.89,-119.1,0.0
1631,33.89,-118.6,0.0
1632,33.89,-118.1,23.0
1633,33.89,-117.6,0.0
1634,33.89,-117.1,435.0
1635,33.89,-116.6,277.0
1636,33.89,-116.1,1351.0
1637,33.89,-115.6,709.0
1638,33.89,-115.1,296.0
1639,33.89,-114.6,260.0
1640,33.89,-114.1,451.0
1641,33.89,-113.6,684.0
1642,33.89,-113.1,684.0
1643,33.89,-112.6,664.0
1644,33.89,-112.1,868.0
1645,33.89,-111.6,694.0
1646,33.89,-111.1,1609.0
1647,33.89,-110.6,1682.0
1648,33.89,-110.1,1847.0
1649,33.89,-109.6,2962.0
1650,33.89,-109.1,2979.0
1651,33.89,-108.6,2212.0
1652,33.89,-108.1,2086.0
1653,33.89,-107.6,2559.0
1654,33.89,-107.1,1955.0
1655,33.89,-106.6,1524.0
1656,33.89,-106.1,1911.0
1657,33.89,-105.6,2038.0
1658,33.89,-105.1,1570.0
1659,33.89,-104.6,1291.0
1660,33.89,-104.1,1213.0
1661,33.89,-103.6,1367.0
1662,33.89,-103.1,1244.0
1663,33.89,-102.6,1146.0
1664,33.89,-102.1,1055.0
1665,33.89,-101.6,989.0
1666,33.89,-101.1,935.0
1667,33.89,-100.6,677.0
1668,33.89,-100.1,528.0
1669,33.89,-99.6,407.0
1670,33.89,-99.1,366.0
1671,33.89,-98.6,0.0
1672,33.89,-98.1,250.0
1673,33.89,-97.6,261.0
1674,33.89,-97.1,254.0
1675,33.89,-96.6,188.0
1676,33.89,-96.1,162.0
1677,33.89,-95.6,130.0
1678,33.89,-95.1,113.0
1679,33.89,-94.6,113.0
1680,33.89,-94.1,128.0
